                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1578,                 3.0197,                 3.9084,                0.02625,                 0.0563,                0.02087,                0.00896,                    nan,                    nan,                    nan,             0.00066377,             0.00066377,             0.00066377
                      2,                 2.6186,                 2.4178,                 3.0536,                 0.3114,                0.05183,                0.05233,                0.02046,                    nan,                    nan,                    nan,              0.0013041,              0.0013041,              0.0013041
                      3,                 2.1096,                 2.0221,                 2.5061,                0.41151,                0.05809,                0.06387,                0.02855,                    nan,                    nan,                    nan,               0.001918,               0.001918,               0.001918
                      4,                 1.7757,                 1.7464,                 2.2007,                0.46966,                0.06524,                0.07262,                0.04367,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5222,                 1.5289,                 1.9493,                0.62358,                0.06792,                0.07626,                0.05218,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4042,                  1.401,                 1.8415,                0.57792,                0.06608,                0.07556,                 0.0545,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                 1.3067,                 1.3048,                 1.7483,                0.77599,                0.06702,                0.07917,                0.06027,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1677,                 1.1664,                 1.6093,                0.65689,                0.06792,                0.07778,                0.06074,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1314,                 1.1387,                 1.5928,                0.53816,                0.06702,                0.07711,                0.05801,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1032,                 1.1346,                 1.5736,                 0.6747,                0.06434,                0.07729,                0.06137,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.0328,                  1.056,                 1.5124,                0.73684,                0.06524,                0.08081,                0.06263,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     12,                 1.0131,                 1.0157,                 1.4861,                0.78992,                0.06434,                0.08667,                0.07167,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     13,                0.98165,                  0.986,                 1.4684,                0.65161,                0.06881,                0.08809,                0.07377,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     14,                0.95001,                0.95031,                 1.4447,                0.65949,                0.06702,                0.09908,                0.08386,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     15,                0.92823,                0.93221,                 1.4215,                0.66424,                0.06702,                0.08446,                0.07162,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     16,                0.90229,                 0.9057,                  1.394,                0.71222,                0.06881,                0.08541,                0.07303,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     17,                0.89439,                0.90587,                 1.3835,                0.70975,                0.06792,                0.09364,                 0.0783,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     18,                0.87095,                0.85962,                 1.3717,                 0.6725,                0.06702,                0.08584,                0.07173,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     19,                0.87475,                0.84749,                 1.3637,                 0.7134,                0.06792,                0.10294,                0.08951,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     20,                0.82855,                0.80233,                  1.337,                0.72439,                0.06702,                 0.0925,                0.07984,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     21,                0.84038,                0.80667,                 1.3384,                0.75592,                0.06881,                0.10123,                0.08844,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     22,                0.79305,                0.78279,                 1.3069,                0.67112,                0.06702,                0.09359,                0.08146,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     23,                0.81458,                0.80104,                 1.3258,                0.68884,                0.06613,                0.09403,                0.08194,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     24,                0.78737,                0.75709,                 1.2981,                0.73077,                0.06702,                0.09775,                0.08667,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     25,                 0.7708,                0.75598,                 1.2832,                0.70691,                0.06792,                0.10539,                0.09407,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     26,                0.76587,                0.74267,                  1.283,                  0.711,                0.06792,                0.09461,                0.08289,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     27,                0.76477,                0.75502,                 1.2824,                0.68307,                0.06881,                0.09128,                0.07842,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     28,                0.74565,                0.72049,                  1.256,                0.79475,                0.06792,                0.11498,                0.10242,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     29,                0.74644,                0.71122,                  1.257,                0.82522,                0.06792,                0.11673,                 0.1047,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     30,                 0.7218,                0.68963,                 1.2388,                0.89735,                0.06881,                0.11286,                0.10239,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     31,                0.72407,                0.68638,                  1.245,                0.93285,                0.06881,                0.11452,                0.10393,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     32,                0.73844,                 0.6907,                 1.2581,                0.81949,                0.06881,                0.10998,                0.09923,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     33,                0.71052,                0.66187,                 1.2295,                0.88175,                0.06792,                0.11084,                0.09894,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     34,                0.69607,                 0.6693,                 1.2158,                0.82983,                0.06881,                 0.1052,                0.09524,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     35,                0.69309,                0.64571,                   1.21,                0.93788,                0.06881,                0.12402,                0.11239,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     36,                0.69353,                0.64515,                 1.2098,                0.94369,                0.06881,                 0.1237,                0.11292,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     37,                0.69051,                0.64021,                 1.2099,                0.96908,                0.06702,                0.11274,                0.10372,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     38,                0.68548,                0.63723,                 1.2064,                0.91157,                0.06881,                0.12536,                0.11473,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.6634,                0.61403,                 1.1946,                0.94166,                0.06881,                0.10919,                0.09966,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     40,                0.65143,                0.60261,                 1.1829,                0.89986,                0.06881,                0.12729,                0.11773,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     41,                0.61176,                0.60488,                 1.1527,                0.92215,                0.06881,                0.11735,                0.10673,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     42,                0.58649,                0.57637,                  1.131,                0.85976,                0.06792,                0.12341,                 0.1136,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
