                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0661,                 2.8272,                  3.633,                0.02679,                0.82574,                0.04922,                0.01459,                 2.9854,                 2.8255,                  3.669,             0.00066594,             0.00066594,             0.00066594
                      2,                 3.1042,                 2.3866,                 2.8513,                0.04887,                0.72386,                0.08723,                0.03015,                  2.668,                 2.4571,                 2.8487,              0.0013194,              0.0013194,              0.0013194
                      3,                 2.6376,                 2.2267,                 2.4228,                0.62203,                0.48975,                0.55549,                 0.2806,                 2.0111,                 1.9165,                 2.1936,              0.0019597,              0.0019597,              0.0019597
                      4,                 2.2394,                 2.0162,                 2.1433,                0.70918,                0.63199,                0.69793,                0.39079,                 1.7369,                 2.0547,                 1.9063,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9856,                 1.9928,                 1.9241,                0.76557,                0.63038,                0.73397,                0.43953,                 1.6008,                 1.5914,                 1.7897,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8383,                 1.8111,                 1.8242,                0.82899,                0.64164,                0.77789,                0.49336,                 1.4695,                 1.7108,                 1.6667,               0.001901,               0.001901,               0.001901
                      7,                 1.7513,                 1.6385,                  1.741,                0.74673,                0.62556,                 0.7309,                0.45322,                 1.4646,                 1.6206,                 1.6374,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6562,                 1.6093,                 1.6794,                0.76281,                0.65416,                0.76395,                0.51437,                 1.3545,                 1.3902,                 1.5772,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6035,                 1.5087,                 1.6455,                0.81859,                0.70971,                0.81623,                0.55332,                 1.2734,                 1.4754,                 1.4986,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5106,                 1.4619,                 1.5811,                0.77479,                0.71582,                0.80909,                0.55094,                 1.2604,                 1.2996,                 1.5072,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4642,                 1.3413,                 1.5486,                0.85321,                0.69348,                 0.8187,                 0.5871,                 1.1737,                 1.2915,                 1.4269,               0.001802,               0.001802,               0.001802
                     12,                 1.3923,                 1.3175,                 1.4998,                0.82819,                0.74978,                0.84304,                0.61565,                 1.1227,                 1.1889,                 1.3883,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3934,                 1.3751,                 1.5035,                0.83374,                0.66935,                0.80094,                 0.5592,                 1.2451,                  1.276,                 1.4758,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3439,                 1.3011,                 1.4755,                 0.8396,                0.73907,                0.85047,                0.62221,                 1.0787,                 1.1118,                 1.3642,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3556,                 1.3043,                 1.4811,                0.85329,                0.73809,                0.84672,                0.59413,                 1.1883,                 1.1942,                 1.4146,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3187,                 1.3117,                  1.466,                0.82647,                 0.7491,                0.84837,                0.63401,                 1.0633,                 1.1923,                 1.3465,               0.001703,               0.001703,               0.001703
                     17,                 1.2965,                 1.2397,                 1.4429,                0.78884,                0.71761,                0.81639,                0.62076,                 1.0267,                 1.2307,                 1.3172,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2734,                 1.2247,                 1.4263,                0.81514,                0.70929,                0.82508,                0.62177,                  1.093,                 1.2444,                 1.3543,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2602,                 1.2119,                 1.4279,                 0.8247,                0.76514,                0.85448,                0.64595,                 1.0452,                 1.2001,                 1.3418,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2039,                 1.1566,                 1.3831,                0.81952,                 0.7629,                0.86023,                0.66805,                0.98525,                 1.1932,                 1.3052,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2023,                 1.2235,                 1.3878,                0.83865,                0.74531,                0.85562,                0.65275,                 1.0107,                 1.1433,                 1.3072,               0.001604,               0.001604,               0.001604
                     22,                  1.181,                 1.1637,                 1.3688,                0.87682,                0.75693,                0.87392,                0.68394,                0.95295,                  1.102,                 1.2711,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1734,                 1.1903,                 1.3695,                0.81268,                  0.725,                0.83297,                0.63981,                   1.04,                  1.171,                  1.335,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1621,                 1.1478,                 1.3623,                0.83189,                0.72966,                0.85528,                0.66353,                0.95486,                 1.1156,                 1.2652,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1641,                 1.2293,                 1.3718,                0.84471,                0.75348,                0.85778,                0.65967,                0.98457,                   1.09,                 1.2915,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1311,                 1.0941,                 1.3519,                0.84948,                0.78552,                0.87814,                0.69922,                0.89632,                 1.0134,                 1.2357,               0.001505,               0.001505,               0.001505
                     27,                 1.1168,                 1.1018,                 1.3381,                 0.8346,                0.74402,                0.84706,                0.66324,                0.96881,                 1.1071,                 1.2824,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0908,                 1.0812,                 1.3162,                0.85541,                0.77191,                0.87452,                0.67913,                0.95562,                 1.0639,                 1.2688,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1096,                 1.1049,                 1.3204,                0.88123,                0.78906,                0.88991,                0.70645,                0.91105,                0.98639,                  1.227,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1058,                 1.1322,                 1.3322,                0.86438,                0.79174,                0.88528,                0.68803,                 0.9307,                 1.1504,                 1.2434,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0864,                 1.0626,                 1.3047,                0.88662,                 0.7748,                0.88811,                0.71033,                0.90036,                0.92774,                 1.2407,               0.001406,               0.001406,               0.001406
                     32,                 1.0914,                 1.0619,                 1.3175,                 0.8621,                0.78195,                0.88095,                0.69653,                 0.9388,                 1.0098,                 1.2614,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0688,                 1.0911,                  1.299,                0.84909,                 0.8045,                0.88936,                0.70933,                0.90341,                0.97935,                 1.2347,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.078,                 1.0292,                 1.3095,                0.86915,                0.80608,                0.89184,                0.71563,                0.87733,                0.95849,                 1.2295,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0723,                 1.0593,                 1.3025,                0.87507,                0.78642,                0.88708,                0.70102,                0.89204,                 0.9672,                 1.2235,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0487,                 1.0407,                 1.2761,                0.87539,                0.82038,                 0.9007,                0.73955,                 0.8265,                0.89346,                 1.1864,               0.001307,               0.001307,               0.001307
                     37,                 1.0566,                0.99564,                 1.3014,                 0.8702,                0.80161,                 0.8927,                0.71804,                0.84439,                0.93671,                 1.2012,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0396,                0.99519,                 1.2778,                0.87907,                0.79252,                0.89558,                0.71463,                0.85248,                0.95161,                 1.1974,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0498,                 1.0206,                 1.2952,                0.87279,                0.80071,                0.89534,                0.71605,                0.89154,                0.94395,                 1.2272,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0258,                0.97009,                 1.2824,                0.87004,                0.83755,                0.90755,                0.72304,                 0.8946,                0.88763,                 1.2292,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.024,                 0.9745,                 1.2744,                0.87858,                0.79539,                0.89678,                0.73107,                 0.8356,                0.90478,                 1.1826,               0.001208,               0.001208,               0.001208
                     42,                0.98264,                0.96288,                   1.24,                 0.8819,                0.80746,                0.89333,                0.72728,                0.85116,                0.90708,                 1.1934,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0059,                 0.9502,                 1.2626,                0.88054,                0.82341,                0.90402,                0.74211,                0.81884,                0.89283,                 1.1825,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0137,                 0.9695,                  1.265,                0.88368,                0.80608,                0.90008,                0.73789,                0.81682,                0.88753,                 1.1797,              0.0011486,              0.0011486,              0.0011486
