                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.2084,                 1.2695,                 1.4659,                0.84291,                0.50675,                0.59557,                0.43676,                    nan,                    nan,                    nan,             0.00075152,             0.00075152,             0.00075152
                     38,                 1.1789,                 1.2351,                 1.4431,                 0.8006,                0.50549,                0.58438,                0.42014,                    nan,                    nan,                    nan,             0.00074702,             0.00074702,             0.00074702
                     39,                 1.1738,                 1.2451,                 1.4447,                0.72358,                0.53438,                 0.5734,                0.42383,                    nan,                    nan,                    nan,             0.00074252,             0.00074252,             0.00074252
                     40,                 1.1781,                 1.1845,                  1.436,                0.75213,                0.56078,                0.58556,                0.42161,                    nan,                    nan,                    nan,             0.00073802,             0.00073802,             0.00073802
                     41,                 1.1789,                 1.1575,                 1.4194,                0.65446,                0.59676,                0.60236,                0.44295,                    nan,                    nan,                    nan,             0.00073352,             0.00073352,             0.00073352
                     42,                 1.1672,                 1.1854,                 1.4118,                0.76033,                 0.5627,                0.60383,                0.44865,                    nan,                    nan,                    nan,             0.00072902,             0.00072902,             0.00072902
                     43,                 1.1221,                 1.1655,                 1.3895,                0.77862,                0.52012,                0.58256,                0.43291,                    nan,                    nan,                    nan,             0.00072452,             0.00072452,             0.00072452
                     44,                 1.0983,                 1.1301,                 1.3626,                0.71538,                0.58427,                0.60365,                0.45637,                    nan,                    nan,                    nan,             0.00072002,             0.00072002,             0.00072002
                     45,                 1.1409,                  1.155,                 1.3794,                0.78773,                0.53754,                0.62822,                 0.4786,                    nan,                    nan,                    nan,             0.00071552,             0.00071552,             0.00071552
                     46,                  1.079,                  1.108,                 1.3558,                0.78229,                0.56746,                0.63253,                0.47336,                    nan,                    nan,                    nan,             0.00071102,             0.00071102,             0.00071102
                     47,                 1.1001,                 1.1236,                 1.3569,                0.81851,                0.56148,                0.61966,                0.46833,                    nan,                    nan,                    nan,             0.00070652,             0.00070652,             0.00070652
                     48,                 1.0952,                 1.1071,                 1.3493,                0.79123,                0.57932,                0.62656,                0.49081,                    nan,                    nan,                    nan,             0.00070202,             0.00070202,             0.00070202
                     49,                 1.0781,                 1.0921,                 1.3327,                0.77705,                0.56969,                0.62702,                0.48815,                    nan,                    nan,                    nan,             0.00069752,             0.00069752,             0.00069752
                     50,                 1.0507,                  1.069,                 1.3225,                0.72347,                0.59219,                0.62926,                0.47782,                    nan,                    nan,                    nan,             0.00069302,             0.00069302,             0.00069302
                     51,                 1.0601,                 1.0704,                 1.3373,                0.85582,                0.55195,                0.63321,                0.49762,                    nan,                    nan,                    nan,             0.00068852,             0.00068852,             0.00068852
                     52,                 1.0614,                 1.0521,                 1.3308,                 0.7299,                0.56468,                0.62899,                0.49507,                    nan,                    nan,                    nan,             0.00068402,             0.00068402,             0.00068402
                     53,                 1.0431,                  1.028,                 1.3171,                0.80108,                 0.5716,                0.63591,                0.50179,                    nan,                    nan,                    nan,             0.00067952,             0.00067952,             0.00067952
                     54,                 1.0417,                 1.0595,                 1.3084,                0.74207,                0.58419,                0.64959,                0.51345,                    nan,                    nan,                    nan,             0.00067502,             0.00067502,             0.00067502
                     55,                 1.0374,                 1.0214,                 1.2952,                0.87677,                0.57942,                0.65579,                0.51959,                    nan,                    nan,                    nan,             0.00067052,             0.00067052,             0.00067052
                     56,                 1.0133,                 1.0041,                 1.2861,                0.80119,                0.58484,                0.67022,                0.52647,                    nan,                    nan,                    nan,             0.00066602,             0.00066602,             0.00066602
                     57,                 1.0323,                 1.0197,                 1.2942,                0.85954,                0.58891,                0.67323,                0.51863,                    nan,                    nan,                    nan,             0.00066152,             0.00066152,             0.00066152
                     58,                 1.0055,                0.98416,                 1.2884,                0.80224,                0.60687,                0.65567,                0.51512,                    nan,                    nan,                    nan,             0.00065703,             0.00065703,             0.00065703
                     59,                 1.0243,                 1.0012,                 1.2845,                0.92502,                0.57595,                0.66399,                0.52151,                    nan,                    nan,                    nan,             0.00065253,             0.00065253,             0.00065253
                     60,                0.98141,                0.94854,                 1.2718,                 0.8859,                0.57491,                 0.6659,                0.52957,                    nan,                    nan,                    nan,             0.00064803,             0.00064803,             0.00064803
                     61,                0.98904,                  0.966,                 1.2512,                0.80184,                0.59693,                 0.6429,                0.50508,                    nan,                    nan,                    nan,             0.00064353,             0.00064353,             0.00064353
                     62,                 1.0007,                0.96409,                 1.2694,                0.80676,                0.59375,                0.65549,                0.51688,                    nan,                    nan,                    nan,             0.00063903,             0.00063903,             0.00063903
                     63,                0.98091,                0.94306,                  1.247,                0.70058,                 0.5949,                0.62779,                0.50432,                    nan,                    nan,                    nan,             0.00063453,             0.00063453,             0.00063453
                     64,                 1.0025,                0.96865,                 1.2597,                0.79245,                0.59303,                0.63337,                0.51196,                    nan,                    nan,                    nan,             0.00063003,             0.00063003,             0.00063003
                     65,                0.97724,                0.95739,                 1.2582,                0.77057,                0.59937,                 0.6432,                0.52917,                    nan,                    nan,                    nan,             0.00062553,             0.00062553,             0.00062553
                     66,                  0.972,                0.93235,                 1.2651,                  0.775,                0.60292,                0.63455,                0.51969,                    nan,                    nan,                    nan,             0.00062103,             0.00062103,             0.00062103
                     67,                0.98223,                0.93368,                 1.2432,                 0.8465,                0.57862,                0.64002,                0.51827,                    nan,                    nan,                    nan,             0.00061653,             0.00061653,             0.00061653
                     68,                0.96239,                0.92897,                 1.2533,                0.86815,                0.58723,                0.65114,                0.54073,                    nan,                    nan,                    nan,             0.00061203,             0.00061203,             0.00061203
                     69,                 0.9626,                0.91393,                 1.2326,                 0.7531,                0.62958,                0.65977,                0.53611,                    nan,                    nan,                    nan,             0.00060753,             0.00060753,             0.00060753
                     70,                0.92486,                0.87776,                  1.214,                0.89545,                0.58155,                0.66781,                0.55135,                    nan,                    nan,                    nan,             0.00060303,             0.00060303,             0.00060303
                     71,                0.93328,                0.87073,                 1.2182,                 0.8428,                0.60658,                0.65944,                0.54136,                    nan,                    nan,                    nan,             0.00059853,             0.00059853,             0.00059853
                     72,                0.93565,                0.89136,                 1.2197,                0.83542,                0.57466,                0.65299,                0.54196,                    nan,                    nan,                    nan,             0.00059403,             0.00059403,             0.00059403
                     73,                0.93291,                0.88028,                 1.2183,                0.78976,                0.60075,                0.65402,                0.52512,                    nan,                    nan,                    nan,             0.00058953,             0.00058953,             0.00058953
                     74,                0.93492,                0.87535,                 1.2199,                0.76939,                0.61951,                 0.6682,                0.53779,                    nan,                    nan,                    nan,             0.00058503,             0.00058503,             0.00058503
                     75,                0.91303,                0.84581,                 1.2017,                0.79242,                0.65034,                0.67322,                0.53441,                    nan,                    nan,                    nan,             0.00058053,             0.00058053,             0.00058053
                     76,                0.92062,                0.87596,                 1.2121,                0.85893,                0.62677,                0.69683,                0.57089,                    nan,                    nan,                    nan,             0.00057603,             0.00057603,             0.00057603
                     77,                0.92523,                0.87459,                 1.2032,                0.89583,                0.60481,                0.67718,                0.55868,                    nan,                    nan,                    nan,             0.00057153,             0.00057153,             0.00057153
                     78,                0.93297,                0.86139,                  1.212,                0.84616,                0.60059,                 0.6529,                0.52854,                    nan,                    nan,                    nan,             0.00056703,             0.00056703,             0.00056703
                     79,                0.91942,                0.85944,                 1.1958,                0.88476,                0.58946,                0.68074,                0.55957,                    nan,                    nan,                    nan,             0.00056253,             0.00056253,             0.00056253
                     80,                0.90045,                0.83829,                 1.1923,                0.90558,                 0.5873,                0.66002,                0.54029,                    nan,                    nan,                    nan,             0.00055804,             0.00055804,             0.00055804
                     81,                0.90228,                0.82193,                 1.1918,                 0.8269,                0.63745,                0.67041,                0.55911,                    nan,                    nan,                    nan,             0.00055354,             0.00055354,             0.00055354
                     82,                0.91603,                0.83512,                 1.2072,                0.87938,                0.61329,                0.66673,                0.54171,                    nan,                    nan,                    nan,             0.00054904,             0.00054904,             0.00054904
                     83,                0.87618,                0.84366,                  1.179,                 0.8977,                0.58722,                0.67179,                0.55873,                    nan,                    nan,                    nan,             0.00054454,             0.00054454,             0.00054454
                     84,                 0.9261,                0.86638,                 1.2097,                0.85073,                0.60592,                0.66732,                0.54893,                    nan,                    nan,                    nan,             0.00054004,             0.00054004,             0.00054004
                     85,                 0.8889,                0.81517,                 1.1726,                0.87136,                0.62068,                0.68395,                0.55997,                    nan,                    nan,                    nan,             0.00053554,             0.00053554,             0.00053554
                     86,                0.87998,                0.83034,                 1.1749,                0.85728,                0.61655,                0.68039,                0.57362,                    nan,                    nan,                    nan,             0.00053104,             0.00053104,             0.00053104
                     87,                0.86909,                0.80669,                 1.1645,                0.85388,                0.62593,                0.69048,                0.57106,                    nan,                    nan,                    nan,             0.00052654,             0.00052654,             0.00052654
                     88,                0.88072,                0.79093,                 1.1663,                0.85086,                0.62526,                0.67797,                 0.5426,                    nan,                    nan,                    nan,             0.00052204,             0.00052204,             0.00052204
                     89,                0.88855,                 0.8053,                 1.1826,                0.93132,                0.59002,                0.68146,                0.55729,                    nan,                    nan,                    nan,             0.00051754,             0.00051754,             0.00051754
                     90,                0.89191,                0.81818,                 1.1768,                0.77292,                0.61919,                 0.6683,                0.55474,                    nan,                    nan,                    nan,             0.00051304,             0.00051304,             0.00051304
                     91,                0.86743,                  0.807,                 1.1639,                0.88026,                0.60918,                0.67564,                0.56491,                    nan,                    nan,                    nan,             0.00050854,             0.00050854,             0.00050854
                     92,                0.88209,                0.81783,                 1.1745,                 0.8375,                0.63345,                0.68174,                0.56466,                    nan,                    nan,                    nan,             0.00050404,             0.00050404,             0.00050404
                     93,                0.86178,                0.78897,                 1.1631,                0.85949,                0.61715,                0.68407,                0.56237,                    nan,                    nan,                    nan,             0.00049954,             0.00049954,             0.00049954
                     94,                0.86163,                0.77197,                 1.1491,                0.87077,                0.65095,                0.69696,                0.59486,                    nan,                    nan,                    nan,             0.00049504,             0.00049504,             0.00049504
                     95,                0.85221,                0.75612,                 1.1427,                0.80344,                0.64844,                0.69533,                0.57919,                    nan,                    nan,                    nan,             0.00049054,             0.00049054,             0.00049054
                     96,                0.85335,                0.77453,                  1.161,                0.82718,                0.60681,                0.68873,                0.56957,                    nan,                    nan,                    nan,             0.00048604,             0.00048604,             0.00048604
                     97,                0.83893,                 0.7601,                 1.1352,                0.86202,                0.61339,                0.67398,                0.55292,                    nan,                    nan,                    nan,             0.00048154,             0.00048154,             0.00048154
                     98,                0.82049,                0.72753,                 1.1289,                0.89025,                0.61011,                0.68039,                 0.5694,                    nan,                    nan,                    nan,             0.00047704,             0.00047704,             0.00047704
                     99,                0.85191,                0.75108,                 1.1538,                0.85727,                0.61728,                0.67993,                0.56279,                    nan,                    nan,                    nan,             0.00047254,             0.00047254,             0.00047254
                    100,                0.85662,                0.77057,                  1.156,                0.86991,                0.64755,                0.69497,                0.58213,                    nan,                    nan,                    nan,             0.00046804,             0.00046804,             0.00046804
                    101,                0.83903,                0.75699,                 1.1411,                0.86815,                0.61347,                0.69864,                0.58152,                    nan,                    nan,                    nan,             0.00046354,             0.00046354,             0.00046354
                    102,                0.84078,                0.74112,                 1.1471,                0.86689,                0.63716,                0.68942,                0.58623,                    nan,                    nan,                    nan,             0.00045904,             0.00045904,             0.00045904
                    103,                0.83123,                0.74798,                 1.1342,                0.81299,                0.64483,                0.69584,                0.57828,                    nan,                    nan,                    nan,             0.00045455,             0.00045455,             0.00045455
                    104,                0.86263,                0.76494,                 1.1487,                0.80881,                0.65745,                0.69719,                0.58329,                    nan,                    nan,                    nan,             0.00045005,             0.00045005,             0.00045005
                    105,                0.84573,                0.76386,                 1.1392,                 0.8427,                 0.6263,                0.69812,                0.58436,                    nan,                    nan,                    nan,             0.00044555,             0.00044555,             0.00044555
                    106,                0.85472,                0.75081,                 1.1469,                0.84849,                 0.6398,                0.69258,                0.57355,                    nan,                    nan,                    nan,             0.00044105,             0.00044105,             0.00044105
                    107,                0.83858,                0.74555,                 1.1317,                0.82831,                0.65547,                0.69295,                0.57398,                    nan,                    nan,                    nan,             0.00043655,             0.00043655,             0.00043655
                    108,                0.82796,                0.72866,                  1.132,                0.83938,                0.63274,                0.69383,                 0.5755,                    nan,                    nan,                    nan,             0.00043205,             0.00043205,             0.00043205
                    109,                 0.8284,                 0.7259,                 1.1269,                0.87786,                0.63921,                0.69744,                0.58056,                    nan,                    nan,                    nan,             0.00042755,             0.00042755,             0.00042755
