                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2699,                 2.8932,                 3.8181,                0.09913,                0.21716,                0.06474,                0.01688,                    nan,                    nan,                    nan,             0.00066377,             0.00066377,             0.00066377
                      2,                 3.1043,                 2.0566,                 2.8225,                0.17979,                0.16622,                0.10671,                0.03007,                    nan,                    nan,                    nan,              0.0013173,              0.0013173,              0.0013173
                      3,                 2.5754,                 1.7503,                 2.3441,                0.59488,                0.37792,                0.38091,                0.19195,                    nan,                    nan,                    nan,              0.0019576,              0.0019576,              0.0019576
                      4,                 2.0949,                 1.5381,                 2.0149,                0.73084,                0.45862,                0.51819,                0.31257,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8812,                 1.3946,                 1.8075,                0.75326,                0.46649,                 0.5429,                0.34442,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.696,                 1.3053,                 1.6818,                0.75353,                0.52011,                0.57505,                0.39104,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                      7,                 1.5959,                 1.2118,                 1.6003,                0.76389,                0.55228,                0.60927,                0.43614,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4666,                 1.1074,                 1.4931,                0.74887,                0.50402,                0.58311,                0.41351,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4195,                 1.0964,                 1.4741,                0.75467,                0.50582,                0.57892,                0.40929,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3416,                 1.0893,                 1.4324,                0.81802,                0.54066,                0.62812,                0.47071,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2791,                 1.0202,                 1.3859,                0.86753,                0.52547,                0.63957,                0.48457,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     12,                  1.239,                0.98598,                 1.3538,                0.78422,                0.58892,                0.65295,                0.47858,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2059,                0.96912,                 1.3325,                0.73462,                0.59123,                0.63835,                0.47839,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1961,                0.95205,                 1.3269,                0.80628,                0.60627,                0.66948,                0.51223,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1533,                0.93739,                 1.3003,                0.81532,                0.59517,                0.67167,                0.51398,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
