                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9992,                 2.5351,                 3.6581,                0.08106,                0.53262,                0.07195,                0.02363,                 2.8272,                 2.1937,                 3.0723,             0.00066522,             0.00066522,             0.00066522
                      2,                 2.7176,                 1.8942,                 2.5766,                0.66965,                0.58177,                0.62303,                0.27391,                 2.0992,                 1.5983,                 2.3158,              0.0013187,              0.0013187,              0.0013187
                      3,                 2.1595,                 1.6241,                 2.0936,                0.66482,                0.44861,                0.57217,                0.32404,                 1.9297,                 1.6239,                 2.0826,               0.001959,               0.001959,               0.001959
                      4,                 1.8595,                 1.4357,                  1.868,                0.78449,                0.64879,                 0.7593,                 0.4991,                 1.4611,                 1.2431,                 1.7192,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6725,                  1.331,                 1.7137,                0.82914,                0.51028,                0.64594,                0.44305,                 1.5542,                 1.9474,                 1.7279,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5164,                 1.2237,                 1.6053,                0.81612,                0.68616,                0.79781,                 0.5849,                 1.2151,                 1.2026,                 1.5145,               0.001901,               0.001901,               0.001901
                      7,                 1.3949,                 1.1247,                 1.5134,                0.84325,                0.72591,                0.84929,                0.63767,                 1.1071,                 1.0257,                 1.4145,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3383,                 1.0879,                 1.4636,                0.80473,                0.76237,                0.84454,                0.60278,                 1.1609,                 1.0184,                 1.4259,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2799,                 1.0673,                 1.4313,                0.85186,                0.77301,                0.87189,                0.65029,                 1.0285,                0.93281,                 1.3517,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2265,                 1.0947,                 1.4018,                0.85742,                 0.8034,                 0.8842,                0.68422,                0.99202,                0.90826,                  1.313,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2301,                 1.0124,                 1.3904,                0.84594,                0.78016,                0.86883,                0.64951,                  1.022,                0.95446,                 1.3143,               0.001802,               0.001802,               0.001802
