                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9164,                 2.3566,                 3.4099,                0.33309,                0.35083,                0.26455,                0.07463,                 3.0645,                 1.8405,                 3.1168,             0.00066377,             0.00066377,             0.00066377
                      2,                 2.5206,                 1.6277,                   2.45,                0.58177,                0.57105,                0.56626,                0.29771,                 1.8807,                  1.496,                 2.1804,              0.0013173,              0.0013173,              0.0013173
                      3,                 2.1102,                  1.432,                 2.0825,                 0.5827,                0.47811,                0.53103,                0.31085,                 1.8893,                 1.9217,                 2.1372,              0.0019576,              0.0019576,              0.0019576
                      4,                 1.7774,                 1.2786,                 1.8509,                0.47637,                0.41706,                0.43895,                0.28703,                 1.6752,                 2.7195,                 1.9084,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5512,                 1.1482,                  1.662,                0.80759,                0.67828,                0.78209,                0.50894,                 1.3693,                 1.1659,                 1.6571,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4044,                 1.0598,                 1.5423,                0.74411,                0.68811,                0.77419,                0.54802,                 1.2625,                 1.2365,                 1.5362,               0.001901,               0.001901,               0.001901
                      7,                 1.3145,                 0.9924,                 1.4739,                0.76871,                0.69169,                0.78826,                0.55149,                 1.2097,                 1.1259,                 1.4915,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2934,                0.97806,                 1.4593,                0.42285,                0.31189,                0.33721,                0.23316,                 1.6248,                 2.5847,                 1.8182,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2253,                 0.9303,                 1.3797,                0.85352,                0.81769,                0.88714,                0.69101,                 1.0102,                0.77594,                 1.3365,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1594,                0.88457,                 1.3389,                0.82774,                0.77301,                0.86837,                0.65937,                 1.0156,                0.89037,                 1.3436,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.149,                0.88947,                 1.3371,                0.86614,                0.79795,                0.88527,                0.67084,                0.99641,                0.82426,                 1.3266,               0.001802,               0.001802,               0.001802
                     12,                 1.0975,                0.86081,                 1.3092,                0.86791,                0.78686,                0.88157,                 0.6965,                0.90973,                0.86483,                 1.2645,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0533,                0.81983,                 1.2806,                0.86488,                0.84897,                0.91131,                0.72165,                0.87765,                0.74837,                 1.2413,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.039,                0.81874,                 1.2629,                0.86961,                0.82127,                0.90341,                 0.7239,                0.85542,                0.79721,                 1.2239,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0194,                  0.797,                 1.2524,                0.87154,                0.81948,                0.89807,                 0.7282,                0.83028,                0.72511,                  1.216,              0.0017228,              0.0017228,              0.0017228
                     16,                0.95526,                0.76647,                 1.2246,                0.88029,                0.83378,                0.90614,                0.73269,                 0.8538,                0.73194,                 1.2223,               0.001703,               0.001703,               0.001703
                     17,                0.96332,                  0.761,                 1.2213,                0.87177,                0.78981,                0.89259,                0.73538,                0.76442,                0.75642,                 1.1496,              0.0016832,              0.0016832,              0.0016832
                     18,                0.95377,                 0.7739,                  1.213,                0.88103,                0.86029,                 0.9148,                0.74313,                 0.7913,                0.67113,                 1.1598,              0.0016634,              0.0016634,              0.0016634
                     19,                0.92808,                0.73245,                 1.1881,                0.86093,                0.81325,                0.90135,                0.73692,                0.76909,                0.72059,                  1.143,              0.0016436,              0.0016436,              0.0016436
                     20,                0.92253,                0.71914,                 1.1777,                 0.9041,                0.82561,                0.91428,                0.76071,                0.73576,                0.68047,                  1.137,              0.0016238,              0.0016238,              0.0016238
                     21,                0.90525,                 0.7329,                 1.1864,                0.88136,                0.85344,                0.91555,                0.75954,                0.74808,                 0.6768,                 1.1571,               0.001604,               0.001604,               0.001604
                     22,                 0.8762,                0.69967,                 1.1554,                0.83025,                0.79535,                0.88976,                0.73535,                0.75428,                 0.7482,                  1.131,              0.0015842,              0.0015842,              0.0015842
                     23,                0.84412,                0.67197,                 1.1541,                0.84114,                0.84224,                0.91246,                0.76391,                0.75016,                0.70343,                 1.1454,              0.0015644,              0.0015644,              0.0015644
                     24,                0.84477,                0.67716,                 1.1548,                0.88089,                0.83557,                0.91877,                0.77883,                0.66674,                0.65874,                 1.0964,              0.0015446,              0.0015446,              0.0015446
                     25,                0.83299,                0.64531,                 1.1328,                0.87268,                0.82695,                0.91649,                0.76918,                0.68558,                0.70375,                 1.0833,              0.0015248,              0.0015248,              0.0015248
                     26,                0.82371,                0.65249,                 1.1388,                0.88245,                0.82519,                0.91649,                0.76758,                0.71216,                0.67422,                 1.1058,               0.001505,               0.001505,               0.001505
                     27,                0.82307,                0.64459,                 1.1345,                0.91574,                0.83199,                 0.9367,                0.79831,                0.64961,                0.62165,                 1.0817,              0.0014852,              0.0014852,              0.0014852
                     28,                0.80536,                0.61704,                 1.1147,                0.90432,                0.85255,                0.93501,                0.79864,                0.67637,                0.63064,                 1.0962,              0.0014654,              0.0014654,              0.0014654
                     29,                0.80298,                0.61852,                 1.1138,                 0.8784,                0.83922,                0.92593,                0.78686,                0.65451,                0.66577,                 1.0742,              0.0014456,              0.0014456,              0.0014456
                     30,                0.76882,                0.59913,                  1.092,                0.88256,                0.87974,                0.93448,                0.79837,                0.64008,                0.58437,                 1.0728,              0.0014258,              0.0014258,              0.0014258
                     31,                0.78993,                0.60427,                 1.1063,                0.88275,                0.88813,                0.95117,                0.80903,                0.64612,                0.56623,                 1.0567,               0.001406,               0.001406,               0.001406
                     32,                0.77998,                0.59754,                 1.0983,                0.82456,                0.84897,                0.91724,                0.78095,                0.65475,                0.67285,                 1.0656,              0.0013862,              0.0013862,              0.0013862
                     33,                0.75404,                0.58758,                 1.0924,                0.90807,                0.89276,                 0.9445,                0.81957,                0.60672,                0.55778,                 1.0404,              0.0013664,              0.0013664,              0.0013664
                     34,                0.76034,                0.59015,                 1.0878,                0.87018,                0.85063,                0.92071,                0.77917,                0.67823,                0.66315,                 1.0886,              0.0013466,              0.0013466,              0.0013466
                     35,                0.73974,                 0.5733,                 1.0828,                0.91166,                0.86695,                0.94581,                0.81273,                0.62346,                0.56727,                 1.0555,              0.0013268,              0.0013268,              0.0013268
                     36,                0.73081,                0.55382,                 1.0738,                0.91151,                0.87489,                0.94303,                0.81203,                0.64364,                0.57009,                  1.065,               0.001307,               0.001307,               0.001307
                     37,                0.72114,                0.55119,                 1.0685,                0.91728,                0.87221,                0.95057,                0.82308,                0.62119,                0.54568,                  1.046,              0.0012872,              0.0012872,              0.0012872
                     38,                0.72637,                0.54569,                 1.0718,                0.93569,                0.87122,                0.95058,                0.82414,                0.60682,                0.51892,                 1.0374,              0.0012674,              0.0012674,              0.0012674
                     39,                0.73426,                0.56544,                 1.0785,                0.92272,                0.87757,                0.96122,                 0.8379,                0.57145,                 0.5144,                 1.0158,              0.0012476,              0.0012476,              0.0012476
                     40,                0.70932,                0.53721,                  1.067,                0.92322,                0.86863,                0.95174,                0.82455,                0.59617,                0.50975,                 1.0372,              0.0012278,              0.0012278,              0.0012278
                     41,                0.71179,                0.54107,                  1.067,                0.90204,                0.83932,                0.93959,                0.79887,                 0.6305,                0.60177,                 1.0428,               0.001208,               0.001208,               0.001208
                     42,                 0.7055,                  0.533,                 1.0581,                0.89897,                0.89856,                0.95166,                0.83077,                 0.5819,                 0.5088,                 1.0252,              0.0011882,              0.0011882,              0.0011882
                     43,                0.70061,                0.53588,                 1.0578,                0.91137,                0.87489,                0.95636,                 0.8356,                0.57015,                0.49918,                 1.0162,              0.0011684,              0.0011684,              0.0011684
                     44,                0.69344,                0.54637,                 1.0579,                0.92647,                0.90349,                 0.9615,                0.84926,                0.55517,                0.47005,                 1.0144,              0.0011486,              0.0011486,              0.0011486
                     45,                0.67631,                0.51749,                 1.0405,                0.93627,                0.90595,                0.96496,                0.84605,                0.56809,                0.45491,                 1.0155,              0.0011288,              0.0011288,              0.0011288
                     46,                0.67349,                0.49574,                 1.0379,                0.93771,                0.88792,                0.95957,                0.83607,                0.59628,                0.47569,                 1.0329,               0.001109,               0.001109,               0.001109
                     47,                0.67645,                 0.5008,                 1.0434,                0.92966,                0.89097,                0.96115,                0.84986,                0.54955,                 0.4865,                0.99596,              0.0010892,              0.0010892,              0.0010892
                     48,                0.69143,                0.51442,                 1.0556,                0.89014,                0.88337,                0.95137,                0.82607,                0.57461,                  0.558,                 1.0139,              0.0010694,              0.0010694,              0.0010694
                     49,                0.66819,                0.50565,                 1.0494,                0.91428,                0.87578,                 0.9588,                0.82663,                0.57942,                0.51194,                 1.0029,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.6619,                0.48607,                 1.0306,                0.93484,                0.89366,                0.96821,                0.86165,                0.52128,                0.44569,                0.98182,              0.0010298,              0.0010298,              0.0010298
                     51,                0.64952,                0.48392,                 1.0276,                0.92539,                0.88829,                0.96692,                0.84705,                 0.5515,                0.47245,                 1.0015,                0.00101,                0.00101,                0.00101
                     52,                0.64133,                0.47045,                 1.0252,                0.92866,                 0.9151,                 0.9679,                 0.8654,                0.52644,                0.42857,                0.99319,              0.0009902,              0.0009902,              0.0009902
                     53,                0.65078,                0.47754,                  1.026,                0.92701,                0.87399,                0.96334,                0.85136,                0.54074,                0.46763,                 0.9893,              0.0009704,              0.0009704,              0.0009704
                     54,                0.65522,                0.48456,                 1.0291,                0.92464,                0.88814,                 0.9641,                0.84976,                0.55124,                0.48218,                0.99125,              0.0009506,              0.0009506,              0.0009506
                     55,                0.65033,                0.48154,                 1.0329,                0.95167,                0.89751,                0.97305,                0.86303,                0.54056,                0.43597,                0.99201,              0.0009308,              0.0009308,              0.0009308
                     56,                0.64351,                  0.474,                 1.0221,                0.93719,                0.89544,                0.96893,                0.86168,                0.52879,                0.43739,                0.98517,               0.000911,               0.000911,               0.000911
                     57,                0.62251,                0.45053,                 1.0129,                0.93345,                0.91063,                0.97122,                0.86089,                0.51326,                 0.4364,                0.97787,              0.0008912,              0.0008912,              0.0008912
                     58,                0.62605,                0.45596,                 1.0225,                0.94866,                0.90821,                0.97352,                0.85844,                0.55864,                0.42892,                0.99959,              0.0008714,              0.0008714,              0.0008714
                     59,                0.63011,                0.47112,                 1.0198,                0.93951,                0.91602,                0.97596,                0.86867,                0.52124,                0.42169,                0.98656,              0.0008516,              0.0008516,              0.0008516
                     60,                0.62347,                0.45524,                 1.0202,                0.92955,                0.90788,                0.97036,                0.85873,                0.53741,                0.44399,                0.99212,              0.0008318,              0.0008318,              0.0008318
                     61,                0.62905,                0.45406,                 1.0172,                0.90797,                0.90885,                0.96664,                0.85048,                0.55887,                0.46256,                0.99594,               0.000812,               0.000812,               0.000812
                     62,                0.61607,                0.44666,                  1.007,                  0.939,                 0.9079,                0.97318,                 0.8674,                0.50987,                 0.4432,                0.97184,              0.0007922,              0.0007922,              0.0007922
