                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066377,             0.00066377,             0.00066377
                      2,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013238,              0.0013238,              0.0013238
                      3,                    nan,                    nan,                    nan,                0.00042,                0.00089,                0.00021,                  4e-05,                    nan,                    nan,                    nan,              0.0019773,              0.0019773,              0.0019773
                      4,                    nan,                    nan,                    nan,                0.00042,                0.00089,                0.00021,                  4e-05,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      5,                    nan,                    nan,                    nan,                0.00042,                0.00089,                0.00021,                  4e-05,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      6,                    nan,                    nan,                    nan,                0.00042,                0.00089,                0.00021,                  4e-05,                    nan,                    nan,                    nan,              0.0019505,              0.0019505,              0.0019505
                      7,                    nan,                    nan,                    nan,                0.00042,                0.00089,                0.00021,                  4e-05,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      8,                    nan,                    nan,                    nan,                0.00042,                0.00089,                0.00021,                  4e-05,                    nan,                    nan,                    nan,              0.0019307,              0.0019307,              0.0019307
                      9,                    nan,                    nan,                    nan,                0.00042,                0.00089,                0.00021,                  4e-05,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
