                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066087,             0.00066087,             0.00066087
                      2,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001321,               0.001321,               0.001321
                      3,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019745,              0.0019745,              0.0019745
                      4,                    nan,                    nan,                    nan,                  3e-05,                0.00089,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      5,                    nan,                    nan,                    nan,                  3e-05,                0.00089,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      6,                    nan,                    nan,                    nan,                  3e-05,                0.00089,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0019505,              0.0019505,              0.0019505
                      7,                    nan,                    nan,                    nan,                  3e-05,                0.00089,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
