                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1578,                 3.0197,                 3.9084,                0.02625,                 0.0563,                0.02087,                0.00896,                    nan,                    nan,                    nan,             0.00066377,             0.00066377,             0.00066377
                      2,                  2.618,                 2.4206,                 3.0535,                0.24382,                0.05362,                0.04785,                0.01956,                    nan,                    nan,                    nan,              0.0013173,              0.0013173,              0.0013173
                      3,                 2.1185,                 2.0381,                 2.5198,                0.18723,                0.04736,                0.04034,                0.01774,                    nan,                    nan,                    nan,              0.0019576,              0.0019576,              0.0019576
                      4,                 1.7942,                 1.7799,                  2.212,                0.44947,                0.06613,                0.07358,                0.04437,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5616,                 1.5636,                 1.9792,                0.43087,                0.06792,                0.07326,                0.05051,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4043,                 1.4155,                 1.8434,                0.53578,                0.06792,                0.07527,                0.05197,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                      7,                 1.3076,                 1.3079,                  1.748,                0.69769,                0.06613,                0.08004,                0.05943,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.168,                 1.1744,                 1.6086,                 0.7266,                0.06792,                0.08032,                0.06246,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1317,                 1.1441,                 1.5885,                0.57984,                0.06613,                0.07844,                0.05981,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1056,                 1.1339,                 1.5738,                0.40041,                0.06613,                  0.073,                0.05525,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.045,                 1.0713,                 1.5198,                0.60181,                0.06613,                0.08207,                0.06686,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     12,                 1.0103,                 1.0225,                  1.482,                 0.6277,                 0.0663,                0.09287,                0.07463,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     13,                0.99057,                0.99355,                 1.4671,                0.59127,                0.06792,                0.08483,                0.06759,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     14,                0.97314,                0.96026,                 1.4574,                0.64366,                0.06702,                0.09508,                0.08092,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     15,                0.93862,                0.93814,                 1.4226,                0.71142,                0.06792,                0.09629,                0.08258,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     16,                0.92545,                0.90093,                 1.4096,                0.80241,                0.06792,                0.08801,                0.07373,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     17,                0.89777,                 0.9064,                 1.3845,                0.72996,                0.06764,                0.09632,                 0.0822,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     18,                0.89928,                0.88225,                  1.389,                0.72503,                0.06792,                 0.0996,                 0.0843,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     19,                0.87692,                0.85811,                 1.3632,                0.66385,                0.06881,                0.10506,                0.08943,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     20,                0.82413,                0.81968,                 1.3289,                0.63386,                0.06881,                0.08773,                0.07433,                    nan,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     21,                0.85201,                0.82098,                 1.3405,                0.86876,                0.06613,                0.11595,                0.09939,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     22,                0.82709,                0.80322,                 1.3268,                0.59725,                0.06881,                0.08879,                0.07609,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                     23,                0.82248,                0.80505,                 1.3266,                0.67729,                0.06702,                0.10108,                0.08718,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     24,                0.80026,                0.76736,                 1.3041,                 0.6313,                0.06702,                0.09657,                0.08673,                    nan,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                     25,                0.78341,                0.75725,                 1.2888,                 0.6312,                0.06577,                0.09058,                0.07722,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     26,                0.78884,                0.75888,                 1.2956,                0.84657,                0.06881,                0.09503,                0.08235,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     27,                0.77608,                0.75997,                 1.2868,                0.82316,                0.06613,                0.09407,                0.07983,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     28,                0.76084,                0.72702,                 1.2651,                0.86515,                0.06881,                0.13071,                0.11532,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     29,                0.75487,                0.71529,                 1.2599,                0.84931,                0.06792,                 0.1219,                0.10932,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     30,                0.73645,                0.70163,                 1.2478,                0.96827,                0.06881,                0.11565,                0.10523,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     31,                0.73877,                 0.7068,                 1.2495,                0.80279,                0.06881,                0.12358,                0.11035,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     32,                0.74467,                0.69753,                 1.2618,                0.85564,                0.06881,                0.12489,                0.11162,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     33,                0.72323,                0.68483,                 1.2383,                0.94011,                0.06792,                0.12526,                0.11259,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     34,                  0.709,                0.68563,                 1.2231,                0.84075,                0.06881,                0.12101,                0.10937,                    nan,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     35,                0.70384,                0.66133,                 1.2151,                0.92816,                0.06881,                0.11873,                0.10391,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     36,                0.71238,                0.66864,                  1.223,                0.90892,                0.06881,                0.12861,                0.11633,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     37,                0.70274,                0.65154,                 1.2118,                0.78216,                0.06738,                0.10724,                 0.0969,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.6946,                0.64161,                 1.2061,                0.88773,                0.06792,                0.12223,                 0.1107,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     39,                0.67739,                0.62265,                 1.1969,                0.94265,                0.06881,                0.12205,                0.11106,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     40,                0.66446,                0.62078,                 1.1855,                0.85417,                0.06881,                0.11562,                0.10426,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     41,                0.65904,                0.61094,                 1.1799,                0.81933,                0.06792,                0.10945,                0.09564,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     42,                0.66575,                0.60825,                 1.1799,                 0.9215,                0.06881,                0.12943,                 0.1166,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.6699,                0.61087,                 1.1859,                0.91309,                0.06881,                 0.1373,                0.12427,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     44,                0.64426,                 0.5812,                 1.1647,                0.90888,                0.06881,                0.12893,                0.11936,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     45,                0.64731,                0.57759,                 1.1632,                0.94132,                0.06881,                0.14256,                0.13127,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     46,                0.64589,                 0.5828,                 1.1669,                0.93373,                0.06881,                0.14357,                0.13133,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     47,                0.63445,                0.57191,                 1.1589,                 0.8451,                0.06881,                0.13787,                 0.1242,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     48,                0.63009,                 0.5735,                 1.1543,                0.89941,                0.06881,                0.13081,                0.11981,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     49,                0.62805,                0.56694,                 1.1588,                0.92382,                0.06881,                0.13774,                0.12653,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     50,                0.63501,                0.57455,                 1.1627,                0.91733,                0.06881,                0.12879,                0.11743,                    nan,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.6352,                0.56831,                  1.159,                0.86887,                0.06881,                0.11893,                0.10947,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     52,                0.62344,                 0.5551,                 1.1442,                0.83874,                0.06881,                0.14839,                0.13823,                    nan,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     53,                0.62279,                0.55433,                 1.1411,                0.87556,                0.06881,                0.13238,                0.12206,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     54,                0.63269,                0.55378,                 1.1532,                0.92297,                0.06881,                0.13242,                0.12229,                    nan,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     55,                0.61439,                0.52914,                 1.1372,                0.93102,                0.06881,                0.14327,                0.13254,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     56,                0.60317,                  0.528,                 1.1282,                0.80977,                0.06881,                0.13503,                0.12529,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     57,                0.60555,                0.54004,                 1.1315,                0.89458,                0.06881,                0.12236,                0.11236,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     58,                0.60612,                0.52886,                 1.1353,                0.94641,                0.06881,                0.17486,                0.16417,                    nan,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     59,                0.59536,                0.52333,                  1.122,                0.89138,                0.06881,                0.14063,                 0.1316,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     60,                0.59779,                0.52859,                 1.1266,                0.93484,                0.06881,                0.13658,                0.12732,                    nan,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     61,                0.58185,                0.51736,                 1.1132,                  0.946,                0.06881,                0.15126,                 0.1419,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     62,                0.59445,                0.51899,                 1.1235,                0.91381,                0.06881,                0.12753,                 0.1188,                    nan,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     63,                0.58842,                0.51066,                 1.1145,                0.92822,                0.06881,                0.15813,                0.14891,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     64,                0.58805,                0.52292,                 1.1223,                0.94024,                0.06881,                 0.1479,                 0.1381,                    nan,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                     65,                0.58608,                0.50877,                 1.1234,                0.96989,                0.06881,                0.15559,                 0.1459,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     66,                0.59462,                0.52907,                 1.1223,                0.92113,                0.06881,                0.15692,                0.14765,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     67,                0.58345,                0.52501,                  1.117,                0.92782,                0.06881,                0.14762,                0.13935,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     68,                0.57792,                0.50677,                 1.1108,                0.92392,                0.06881,                 0.1257,                0.11508,                    nan,                    nan,                    nan,              0.0006734,              0.0006734,              0.0006734
                     69,                0.56733,                 0.4929,                 1.1035,                0.96165,                0.06881,                0.15888,                0.14909,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     70,                0.57055,                0.48803,                 1.0986,                0.97915,                0.06881,                0.14906,                0.14036,                    nan,                    nan,                    nan,              0.0006338,              0.0006338,              0.0006338
                     71,                0.58011,                0.50745,                 1.1155,                0.94525,                0.06881,                0.16295,                0.15052,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     72,                0.56537,                 0.4874,                 1.1034,                0.94339,                0.06881,                0.13332,                0.12534,                    nan,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                     73,                0.55541,                0.47172,                 1.0939,                0.92236,                0.06881,                0.15071,                  0.139,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     74,                0.55928,                0.48509,                 1.1018,                0.93099,                0.06881,                0.17257,                0.16116,                    nan,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
                     75,                0.55487,                0.46868,                 1.0851,                0.96846,                0.06881,                0.15545,                0.14542,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     76,                0.56679,                0.47481,                 1.0969,                  0.982,                0.06881,                 0.1783,                0.16541,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     77,                0.56198,                0.47482,                 1.0998,                0.96602,                0.06881,                 0.1671,                0.15581,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     78,                0.56091,                0.47429,                 1.0916,                0.96078,                0.06881,                0.15672,                0.14707,                    nan,                    nan,                    nan,              0.0004754,              0.0004754,              0.0004754
                     79,                0.55342,                0.47982,                 1.0924,                0.95413,                0.06881,                0.17007,                0.16111,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     80,                0.54728,                0.45593,                 1.0797,                0.95855,                0.06881,                0.16111,                0.15277,                    nan,                    nan,                    nan,              0.0004358,              0.0004358,              0.0004358
                     81,                0.54437,                0.45934,                 1.0804,                0.99111,                0.06881,                0.17725,                0.16722,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     82,                0.54196,                0.45597,                  1.084,                0.94198,                0.06881,                 0.1643,                0.15585,                    nan,                    nan,                    nan,              0.0003962,              0.0003962,              0.0003962
                     83,                0.54609,                0.46623,                 1.0906,                0.96959,                0.06881,                0.17038,                0.16006,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     84,                0.53128,                0.44544,                 1.0719,                0.99192,                0.06881,                 0.1776,                0.16629,                    nan,                    nan,                    nan,              0.0003566,              0.0003566,              0.0003566
