                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.855,                 3.7719,                 3.6685,                0.43902,                0.10721,                0.07779,                0.02706,                 2.9584,                 3.6367,                 3.0988,              0.0033205,              0.0033205,              0.0033205
                      2,                  1.836,                 1.6455,                 1.8591,                 0.7929,                0.56408,                0.62586,                0.41312,                 1.3288,                 1.4397,                   1.54,               0.006588,               0.006588,               0.006588
                      3,                 1.3214,                 1.2064,                 1.4025,                0.89724,                0.65516,                 0.7141,                0.51833,                0.98227,                 1.0354,                  1.253,              0.0097894,              0.0097894,              0.0097894
                      4,                 1.0406,                0.98958,                 1.1948,                0.89056,                 0.7054,                0.74623,                0.57576,                0.84564,                0.91033,                 1.1119,               0.009703,               0.009703,               0.009703
