                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0306,                 2.5159,                 3.6257,                 0.2542,                0.39231,                0.23418,                0.08147,                 2.6267,                 2.3906,                 2.9381,             0.00066522,             0.00066522,             0.00066522
                      2,                 2.7233,                 1.8741,                 2.5846,                0.61767,                0.50134,                0.56152,                 0.2863,                 1.9823,                 1.6441,                  2.265,              0.0013187,              0.0013187,              0.0013187
                      3,                 2.2137,                 1.6261,                 2.1492,                0.69663,                0.63206,                0.70434,                0.39689,                 1.7277,                  1.401,                 1.9868,               0.001959,               0.001959,               0.001959
                      4,                 1.8997,                 1.4795,                 1.9067,                 0.5717,                0.41734,                0.51184,                0.33529,                 1.6436,                  1.772,                 1.8613,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7042,                 1.3401,                 1.7381,                0.81832,                0.72456,                0.83216,                0.57741,                 1.2992,                 1.1811,                 1.5794,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5478,                 1.2477,                 1.6315,                  0.828,                 0.7471,                0.85115,                0.59972,                 1.2591,                 1.0824,                 1.5274,               0.001901,               0.001901,               0.001901
                      7,                 1.4582,                 1.1741,                 1.5642,                0.82324,                0.78195,                0.85822,                0.62306,                 1.1517,                  1.038,                 1.4523,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3505,                 1.0999,                 1.5132,                0.78814,                0.63829,                0.77437,                0.54481,                 1.2579,                 1.1951,                 1.5293,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3102,                 1.0809,                 1.4574,                0.84479,                0.80786,                0.88568,                 0.6779,                 1.0007,                0.87736,                 1.3511,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2821,                 1.0372,                 1.4354,                0.84818,                0.78463,                0.87712,                0.66735,                 1.0188,                0.92889,                 1.3576,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2253,                  1.027,                 1.4122,                0.86325,                0.77033,                0.87721,                0.66872,                0.99522,                0.94593,                 1.3436,               0.001802,               0.001802,               0.001802
                     12,                 1.1952,                0.98395,                 1.3928,                0.86968,                0.77527,                0.87954,                 0.6909,                0.96014,                0.91904,                 1.3168,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1712,                0.94405,                 1.3697,                0.85948,                0.76521,                0.86013,                0.65668,                 0.9923,                0.91037,                 1.3261,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1461,                0.93623,                 1.3582,                0.87595,                0.81406,                 0.8906,                0.70557,                0.92956,                0.86621,                  1.289,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1315,                0.92104,                 1.3458,                0.85063,                0.80608,                0.89091,                0.69795,                0.93465,                0.85172,                 1.2816,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1053,                0.90366,                 1.3286,                0.87628,                0.80429,                0.90285,                0.70755,                0.95548,                0.84078,                 1.2971,               0.001703,               0.001703,               0.001703
                     17,                 1.0668,                0.91222,                 1.3111,                0.84163,                0.76462,                0.86949,                0.67472,                0.97127,                 0.9061,                  1.294,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0535,                0.88472,                 1.2832,                0.87542,                0.85612,                 0.9129,                0.73191,                0.85036,                0.74221,                 1.2199,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0149,                0.84829,                 1.2625,                0.87952,                0.83502,                0.91185,                0.74095,                0.83451,                0.74411,                 1.2111,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0184,                0.82356,                 1.2573,                0.80741,                0.76318,                0.85791,                0.68108,                0.89663,                0.98442,                 1.2515,              0.0016238,              0.0016238,              0.0016238
                     21,                0.99711,                 0.8491,                 1.2542,                0.84284,                0.78599,                0.88321,                0.71396,                0.85581,                0.86964,                 1.2205,               0.001604,               0.001604,               0.001604
                     22,                 1.0199,                0.92619,                  1.259,                  0.871,                0.82752,                 0.9098,                0.73297,                0.86837,                0.78664,                 1.2229,              0.0015842,              0.0015842,              0.0015842
                     23,                0.96342,                0.80342,                 1.2465,                 0.8996,                0.80075,                0.90668,                0.72237,                0.84603,                0.80769,                 1.2176,              0.0015644,              0.0015644,              0.0015644
                     24,                0.99057,                0.85285,                 1.2571,                0.83966,                0.81429,                0.89678,                0.72044,                0.83513,                0.82932,                 1.1999,              0.0015446,              0.0015446,              0.0015446
                     25,                0.96504,                0.78991,                  1.227,                0.89703,                0.82842,                0.91862,                0.74816,                 0.8268,                0.70679,                 1.1899,              0.0015248,              0.0015248,              0.0015248
                     26,                0.96773,                0.79565,                 1.2318,                0.89356,                0.82663,                0.91451,                 0.7478,                0.80683,                0.74972,                 1.1792,               0.001505,               0.001505,               0.001505
                     27,                0.92886,                0.76385,                 1.2118,                0.90551,                0.83074,                0.91929,                0.75914,                0.76668,                0.74722,                 1.1596,              0.0014852,              0.0014852,              0.0014852
                     28,                0.91763,                0.75565,                 1.2082,                0.90217,                0.80763,                0.91616,                 0.7465,                0.81028,                0.76388,                 1.1767,              0.0014654,              0.0014654,              0.0014654
                     29,                0.91561,                0.88889,                  1.205,                0.87767,                0.83646,                0.91711,                 0.7672,                 0.7317,                0.74307,                 1.1293,              0.0014456,              0.0014456,              0.0014456
                     30,                0.86907,                0.72956,                  1.169,                0.89509,                0.85433,                0.93071,                0.78138,                0.74269,                0.66704,                 1.1364,              0.0014258,              0.0014258,              0.0014258
                     31,                0.89994,                0.72547,                 1.1856,                0.88743,                0.83833,                0.92401,                0.76725,                  0.737,                0.66591,                  1.132,               0.001406,               0.001406,               0.001406
                     32,                0.87868,                0.72186,                 1.1729,                0.90361,                0.85612,                0.93511,                0.79104,                0.69434,                0.64811,                 1.1142,              0.0013862,              0.0013862,              0.0013862
                     33,                0.86935,                0.73706,                 1.1768,                0.91334,                0.85344,                0.93148,                0.78726,                0.69605,                 0.6393,                 1.1103,              0.0013664,              0.0013664,              0.0013664
                     34,                0.86268,                0.76498,                 1.1644,                0.91414,                0.85165,                0.92954,                0.77851,                0.71961,                0.67139,                 1.1198,              0.0013466,              0.0013466,              0.0013466
                     35,                0.84608,                0.69485,                 1.1677,                0.90742,                0.83211,                0.92817,                0.76418,                0.75039,                0.70234,                 1.1307,              0.0013268,              0.0013268,              0.0013268
                     36,                0.86267,                0.73719,                 1.1671,                0.90183,                0.83825,                0.92888,                0.78149,                0.73507,                0.64524,                 1.1301,               0.001307,               0.001307,               0.001307
                     37,                0.84564,                0.69657,                 1.1554,                0.89348,                0.85612,                0.93333,                0.78179,                 0.7251,                0.64231,                 1.1311,              0.0012872,              0.0012872,              0.0012872
                     38,                0.84009,                0.68926,                 1.1662,                0.89327,                0.85344,                0.93098,                0.77677,                0.69187,                0.66901,                 1.1123,              0.0012674,              0.0012674,              0.0012674
                     39,                0.85018,                0.72029,                  1.169,                0.87342,                0.76464,                0.88955,                0.74336,                0.74541,                0.83486,                 1.1422,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.8347,                0.68575,                 1.1528,                0.91357,                 0.8874,                0.94357,                0.80278,                0.68986,                0.60216,                 1.1046,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.8337,                 0.6865,                 1.1517,                0.92953,                0.83914,                0.93789,                0.79744,                0.67431,                0.62901,                 1.0919,               0.001208,               0.001208,               0.001208
                     42,                0.83513,                0.69816,                 1.1537,                0.89262,                0.86238,                0.93586,                0.79395,                0.65521,                0.62492,                 1.0794,              0.0011882,              0.0011882,              0.0011882
                     43,                0.82437,                0.68192,                 1.1537,                 0.9083,                0.84096,                0.93298,                0.79423,                 0.6701,                0.64726,                 1.0877,              0.0011684,              0.0011684,              0.0011684
                     44,                0.80106,                0.65628,                 1.1327,                0.89231,                0.87399,                0.93744,                0.79937,                0.67179,                 0.5973,                 1.0912,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.7971,                0.64612,                 1.1311,                0.92366,                0.85523,                 0.9461,                 0.8195,                0.62839,                0.56461,                 1.0653,              0.0011288,              0.0011288,              0.0011288
                     46,                0.80031,                0.64863,                 1.1285,                0.92275,                0.86953,                0.94437,                0.81117,                 0.6596,                0.57643,                 1.0918,               0.001109,               0.001109,               0.001109
