                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5511,                 3.4248,                  3.408,                 0.3457,                0.27653,                0.19106,                0.08668,                 2.0715,                 2.2752,                 2.3001,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.6748,                 1.5704,                 1.7222,                0.87206,                0.63063,                0.69707,                0.49454,                 1.1354,                 1.1592,                 1.4196,              0.0065975,              0.0065975,              0.0065975
                      3,                 1.2222,                 1.1655,                 1.3317,                0.90529,                0.69869,                0.74971,                0.58307,                0.86326,                0.90306,                 1.1651,              0.0097989,              0.0097989,              0.0097989
                      4,                 1.0163,                0.98145,                 1.1775,                0.92414,                0.70349,                0.76452,                0.61726,                0.75532,                 0.8312,                 1.0762,               0.009703,               0.009703,               0.009703
                      5,                0.88259,                0.84536,                  1.096,                0.93397,                0.73696,                0.78221,                0.65338,                0.65217,                 0.7286,                 1.0074,               0.009604,               0.009604,               0.009604
                      6,                0.80361,                0.76005,                 1.0469,                0.95308,                0.75474,                0.79346,                0.67704,                0.61771,                0.60852,                0.97436,               0.009505,               0.009505,               0.009505
                      7,                0.74741,                0.69421,                 1.0236,                0.95373,                0.76629,                0.80857,                0.70832,                0.55301,                0.53565,                0.94427,               0.009406,               0.009406,               0.009406
                      8,                0.70676,                0.64919,                 0.9996,                 0.9537,                0.77037,                0.82193,                0.71447,                0.56178,                0.50371,                0.93533,               0.009307,               0.009307,               0.009307
                      9,                0.67408,                0.60881,                0.98165,                0.94775,                0.78581,                0.84223,                0.73687,                  0.525,                0.46561,                0.91549,               0.009208,               0.009208,               0.009208
                     10,                0.64834,                0.58261,                0.97036,                0.94117,                 0.8184,                0.85454,                0.74937,                0.52037,                0.45055,                0.91095,               0.009109,               0.009109,               0.009109
                     11,                0.62868,                 0.5514,                 0.9629,                 0.9252,                0.83916,                0.86852,                0.77029,                0.49674,                0.42335,                0.90122,                0.00901,                0.00901,                0.00901
                     12,                0.61517,                0.53168,                 0.9554,                0.95142,                0.81361,                0.85459,                0.76122,                0.49016,                0.40797,                0.89941,               0.008911,               0.008911,               0.008911
                     13,                0.60106,                0.51495,                0.94908,                0.92065,                0.85062,                0.86715,                0.77336,                0.47669,                0.39765,                0.89066,               0.008812,               0.008812,               0.008812
                     14,                0.58944,                0.49993,                0.94005,                0.91662,                0.84814,                0.87764,                0.78227,                0.47099,                0.38141,                0.88433,               0.008713,               0.008713,               0.008713
                     15,                0.57588,                0.48902,                0.93466,                0.92551,                0.82633,                0.86397,                0.77399,                0.46169,                 0.3677,                 0.8788,               0.008614,               0.008614,               0.008614
                     16,                0.56678,                0.47928,                0.93311,                0.93309,                 0.8627,                0.88912,                0.79521,                0.45707,                0.35907,                0.87993,               0.008515,               0.008515,               0.008515
                     17,                 0.5594,                 0.4657,                0.93156,                0.85803,                0.88688,                0.88283,                0.78986,                0.46142,                0.35043,                0.87759,               0.008416,               0.008416,               0.008416
                     18,                0.55232,                0.45604,                 0.9241,                0.94759,                0.85585,                0.89558,                0.80869,                0.44773,                0.34398,                 0.8709,               0.008317,               0.008317,               0.008317
                     19,                0.54572,                0.44964,                0.92578,                0.94004,                 0.8652,                 0.8925,                0.80874,                0.43945,                0.34377,                0.86817,               0.008218,               0.008218,               0.008218
                     20,                0.53824,                0.44696,                 0.9198,                 0.9094,                0.87078,                0.88643,                0.80346,                0.43961,                0.33234,                0.86685,               0.008119,               0.008119,               0.008119
                     21,                0.53028,                0.43568,                 0.9185,                0.96906,                0.86991,                0.90259,                0.81762,                0.42558,                0.32182,                0.86377,                0.00802,                0.00802,                0.00802
                     22,                0.52406,                0.42758,                0.91473,                0.94013,                 0.8762,                0.89972,                0.81753,                0.43458,                0.31831,                0.86544,               0.007921,               0.007921,               0.007921
                     23,                0.52557,                0.42853,                0.91607,                0.96024,                0.85653,                 0.8947,                0.81746,                0.42588,                0.32478,                0.86285,               0.007822,               0.007822,               0.007822
                     24,                 0.5192,                0.41928,                0.91481,                0.93056,                0.88669,                0.90444,                0.81911,                0.42167,                0.31004,                0.86374,               0.007723,               0.007723,               0.007723
                     25,                0.51394,                0.41643,                0.91242,                0.93677,                 0.8727,                0.91363,                0.83166,                0.42196,                0.30359,                0.85811,               0.007624,               0.007624,               0.007624
                     26,                0.50769,                0.40912,                0.90641,                0.94453,                0.86732,                0.91494,                 0.8328,                0.41364,                0.30375,                0.85683,               0.007525,               0.007525,               0.007525
                     27,                0.49965,                0.40293,                0.90429,                0.94419,                0.89889,                0.92834,                0.84199,                0.41233,                0.29864,                0.85662,               0.007426,               0.007426,               0.007426
                     28,                0.49997,                0.39818,                 0.9069,                0.89716,                0.89296,                0.91615,                0.83604,                0.41491,                0.30112,                  0.853,               0.007327,               0.007327,               0.007327
                     29,                0.49525,                0.39209,                0.90419,                0.96803,                0.86431,                0.91437,                0.83122,                0.41038,                0.29137,                0.85459,               0.007228,               0.007228,               0.007228
                     30,                0.49226,                0.39243,                0.90132,                0.95668,                0.88121,                0.91445,                0.83822,                0.40394,                0.29549,                0.85242,               0.007129,               0.007129,               0.007129
                     31,                0.48765,                0.38954,                0.90256,                0.91219,                0.90941,                0.92469,                 0.8487,                0.40205,                0.28341,                0.84914,                0.00703,                0.00703,                0.00703
                     32,                 0.4867,                0.38226,                0.90037,                0.93702,                0.89179,                0.91957,                0.84254,                0.40404,                0.28282,                0.84937,               0.006931,               0.006931,               0.006931
                     33,                0.48633,                0.38074,                0.89911,                0.93018,                0.90204,                0.92591,                0.85069,                0.40223,                0.27691,                0.85109,               0.006832,               0.006832,               0.006832
                     34,                0.47938,                0.37746,                0.89906,                0.97824,                0.87736,                0.91631,                0.84135,                0.39887,                0.28215,                0.84707,               0.006733,               0.006733,               0.006733
                     35,                0.47765,                0.37463,                0.89868,                  0.968,                0.89437,                0.92952,                0.85455,                0.39365,                0.26967,                0.84545,               0.006634,               0.006634,               0.006634
                     36,                 0.4763,                0.37232,                0.89432,                0.92633,                0.92147,                0.93921,                0.85774,                0.39412,                 0.2641,                0.84486,               0.006535,               0.006535,               0.006535
                     37,                 0.4687,                 0.3662,                0.89426,                0.96652,                0.90736,                 0.9359,                0.86038,                0.39381,                0.26585,                0.84367,               0.006436,               0.006436,               0.006436
                     38,                0.47123,                0.36969,                0.89566,                 0.9662,                0.90969,                0.93414,                0.85905,                0.39251,                  0.265,                0.84451,               0.006337,               0.006337,               0.006337
                     39,                0.46649,                0.36354,                 0.8916,                0.96443,                 0.9115,                0.93512,                0.86214,                0.38802,                0.26252,                0.84022,               0.006238,               0.006238,               0.006238
                     40,                0.46376,                0.36031,                0.89129,                0.97244,                0.90229,                0.93188,                0.85622,                0.38581,                0.26454,                0.84052,               0.006139,               0.006139,               0.006139
                     41,                0.46156,                0.35511,                0.89089,                 0.9622,                0.90026,                0.93533,                0.85814,                0.38424,                0.26063,                0.83996,                0.00604,                0.00604,                0.00604
                     42,                0.45863,                0.35325,                0.88822,                 0.9745,                0.90811,                0.93742,                0.86464,                0.38438,                0.25728,                0.83938,               0.005941,               0.005941,               0.005941
                     43,                0.45604,                0.34804,                0.88767,                0.97579,                0.91557,                0.94281,                0.87216,                0.38286,                0.25635,                0.83823,               0.005842,               0.005842,               0.005842
                     44,                  0.456,                0.34727,                0.88736,                0.96746,                0.91833,                0.94155,                0.86925,                0.38147,                0.25604,                0.83909,               0.005743,               0.005743,               0.005743
                     45,                0.45245,                0.34771,                0.88426,                0.97709,                0.91604,                0.93968,                0.86726,                0.37814,                0.25246,                0.83682,               0.005644,               0.005644,               0.005644
                     46,                0.45162,                0.34513,                0.88622,                0.97615,                0.91651,                0.95181,                0.87559,                0.38098,                0.25556,                0.83726,               0.005545,               0.005545,               0.005545
                     47,                0.44865,                0.34282,                0.88406,                0.97414,                0.91746,                0.94418,                0.87182,                0.37778,                0.25152,                0.83556,               0.005446,               0.005446,               0.005446
                     48,                0.44811,                 0.3425,                0.88283,                0.95502,                0.92734,                0.94739,                0.87617,                0.37668,                0.24879,                0.83561,               0.005347,               0.005347,               0.005347
                     49,                0.44574,                0.34193,                0.88183,                0.96703,                0.92783,                0.94674,                0.87425,                0.37784,                0.24697,                0.83498,               0.005248,               0.005248,               0.005248
                     50,                0.44327,                0.33552,                0.88226,                0.97668,                0.91333,                 0.9439,                0.87687,                0.37442,                0.24565,                 0.8343,               0.005149,               0.005149,               0.005149
                     51,                0.44371,                0.33543,                0.88031,                0.97025,                0.91243,                0.94769,                0.88003,                0.37519,                 0.2468,                 0.8343,                0.00505,                0.00505,                0.00505
                     52,                0.44151,                0.33539,                0.88131,                0.97858,                0.91655,                0.94871,                  0.882,                0.37517,                0.24149,                0.83263,               0.004951,               0.004951,               0.004951
                     53,                0.43785,                0.33234,                0.88066,                0.97738,                0.91519,                0.95134,                0.88205,                0.37262,                0.24147,                0.83209,               0.004852,               0.004852,               0.004852
                     54,                0.43832,                0.32765,                0.87979,                0.98031,                0.92285,                0.95314,                0.88089,                0.37133,                0.24102,                0.83204,               0.004753,               0.004753,               0.004753
                     55,                0.43537,                0.32638,                0.87991,                0.95721,                0.93789,                0.95357,                0.88498,                0.37213,                0.23914,                0.83074,               0.004654,               0.004654,               0.004654
                     56,                0.43506,                 0.3261,                0.88125,                0.97669,                0.91899,                0.95382,                0.88683,                0.36796,                0.23571,                0.82994,               0.004555,               0.004555,               0.004555
                     57,                0.43131,                0.32449,                0.87992,                0.95972,                0.93718,                0.95244,                0.88104,                0.36814,                0.23542,                0.82996,               0.004456,               0.004456,               0.004456
                     58,                0.43266,                0.31961,                0.87691,                0.96544,                0.93188,                0.95258,                0.88618,                0.36817,                0.23523,                 0.8307,               0.004357,               0.004357,               0.004357
                     59,                0.42917,                 0.3179,                0.87779,                0.97808,                0.91863,                 0.9513,                0.88723,                0.36727,                0.23225,                0.83046,               0.004258,               0.004258,               0.004258
                     60,                0.42697,                0.31824,                0.87846,                0.97462,                0.92395,                0.95361,                0.88676,                0.36586,                0.23193,                0.82968,               0.004159,               0.004159,               0.004159
                     61,                0.42756,                  0.318,                0.87714,                0.97581,                0.93394,                0.95457,                0.88672,                0.36861,                0.23315,                0.83035,                0.00406,                0.00406,                0.00406
                     62,                0.42869,                0.31892,                0.87745,                0.97549,                0.93084,                0.95277,                0.88794,                0.36608,                0.23086,                0.82869,               0.003961,               0.003961,               0.003961
                     63,                0.42352,                0.31887,                0.87534,                0.97821,                0.92428,                0.95414,                0.88589,                0.36583,                0.23043,                0.82877,               0.003862,               0.003862,               0.003862
                     64,                0.42416,                0.31616,                0.87538,                0.97853,                0.92529,                0.95429,                0.88731,                0.36572,                0.23037,                0.82865,               0.003763,               0.003763,               0.003763
                     65,                0.42475,                0.31096,                0.87527,                0.97855,                0.92377,                 0.9533,                0.88705,                0.36575,                0.22992,                0.82826,               0.003664,               0.003664,               0.003664
                     66,                0.41584,                0.30759,                0.87198,                0.97875,                0.92628,                0.95152,                0.88549,                  0.362,                0.22649,                0.82708,               0.003565,               0.003565,               0.003565
                     67,                0.41632,                0.30675,                0.87266,                0.97939,                 0.9265,                 0.9493,                0.88575,                0.36121,                0.22598,                0.82673,               0.003466,               0.003466,               0.003466
                     68,                0.41447,                0.30471,                0.87257,                0.98315,                0.92231,                0.95154,                0.88736,                  0.361,                0.22412,                0.82651,               0.003367,               0.003367,               0.003367
                     69,                0.41245,                0.30115,                0.87204,                0.97128,                0.92367,                0.95438,                0.89006,                0.35952,                0.22306,                0.82553,               0.003268,               0.003268,               0.003268
                     70,                 0.4155,                0.30544,                0.87276,                0.97865,                0.92287,                0.95662,                0.89247,                0.36003,                0.22312,                 0.8258,               0.003169,               0.003169,               0.003169
                     71,                 0.4095,                0.29945,                0.87037,                0.97666,                0.93155,                0.95742,                0.89221,                0.35927,                0.22284,                0.82544,                0.00307,                0.00307,                0.00307
                     72,                0.40738,                0.29633,                0.87004,                0.97843,                0.93152,                0.95851,                0.89434,                0.35938,                0.22301,                0.82574,               0.002971,               0.002971,               0.002971
                     73,                0.41175,                0.29956,                0.87179,                0.97786,                0.92386,                 0.9571,                0.89334,                0.35777,                0.22145,                0.82523,               0.002872,               0.002872,               0.002872
                     74,                0.40768,                0.29752,                0.86991,                 0.9798,                0.92332,                0.95869,                0.89475,                  0.357,                0.22201,                0.82543,               0.002773,               0.002773,               0.002773
                     75,                0.40498,                0.29375,                0.86918,                0.97159,                 0.9323,                0.95926,                0.89704,                0.35674,                0.22066,                0.82481,               0.002674,               0.002674,               0.002674
                     76,                0.40358,                0.28997,                0.86739,                0.97263,                0.93234,                0.95653,                0.89626,                 0.3559,                0.21914,                0.82442,               0.002575,               0.002575,               0.002575
                     77,                0.40335,                0.29072,                0.86703,                0.97307,                0.92999,                0.95612,                0.89623,                0.35552,                0.21953,                0.82442,               0.002476,               0.002476,               0.002476
                     78,                0.40169,                0.29055,                0.86821,                0.97951,                0.92373,                0.95547,                0.89334,                0.35594,                0.21947,                0.82453,               0.002377,               0.002377,               0.002377
                     79,                0.40071,                0.28845,                0.86772,                0.97095,                 0.9315,                0.95543,                0.89455,                0.35587,                0.21883,                0.82457,               0.002278,               0.002278,               0.002278
                     80,                0.40036,                0.28985,                 0.8676,                0.97215,                0.93275,                0.95428,                0.89334,                0.35519,                0.21837,                0.82371,               0.002179,               0.002179,               0.002179
                     81,                 0.3999,                0.28446,                0.86713,                0.98096,                0.93128,                 0.9543,                0.89461,                0.35376,                0.21675,                0.82341,                0.00208,                0.00208,                0.00208
                     82,                0.40053,                0.28589,                0.86788,                0.97875,                0.93259,                0.95315,                0.89414,                0.35275,                0.21626,                0.82286,               0.001981,               0.001981,               0.001981
                     83,                0.39647,                0.28267,                0.86665,                0.98352,                0.92568,                 0.9529,                0.89225,                0.35228,                0.21692,                0.82185,               0.001882,               0.001882,               0.001882
                     84,                0.39125,                0.27831,                0.86347,                0.98293,                0.92622,                0.95319,                0.89212,                0.35152,                0.21578,                0.82181,               0.001783,               0.001783,               0.001783
                     85,                0.39305,                0.27815,                 0.8652,                0.97776,                0.93127,                0.95272,                0.89238,                 0.3511,                0.21545,                0.82151,               0.001684,               0.001684,               0.001684
                     86,                0.39537,                 0.2832,                0.86414,                0.97971,                0.93138,                0.95224,                0.88998,                 0.3517,                0.21537,                0.82158,               0.001585,               0.001585,               0.001585
                     87,                0.38971,                0.27526,                0.86483,                0.98274,                 0.9271,                0.95243,                0.89003,                0.35186,                0.21472,                0.82234,               0.001486,               0.001486,               0.001486
                     88,                0.38954,                0.27693,                0.86142,                0.98303,                 0.9267,                0.95277,                0.89163,                0.35157,                0.21405,                0.82199,               0.001387,               0.001387,               0.001387
                     89,                0.38729,                 0.2719,                0.86238,                0.98354,                0.92657,                0.95352,                0.89262,                 0.3511,                0.21357,                0.82122,               0.001288,               0.001288,               0.001288
                     90,                0.38383,                0.27219,                0.86345,                0.98315,                0.92635,                0.95472,                 0.8942,                0.35066,                0.21187,                 0.8209,               0.001189,               0.001189,               0.001189
                     91,                0.37167,                0.23923,                0.85264,                0.98084,                0.93177,                0.95543,                0.89479,                0.34982,                0.21159,                0.82109,                0.00109,                0.00109,                0.00109
                     92,                0.36665,                0.23607,                0.85203,                0.97881,                0.93308,                0.95601,                0.89617,                0.34838,                0.21129,                0.82077,               0.000991,               0.000991,               0.000991
                     93,                0.36237,                0.23459,                0.85063,                0.98208,                0.93291,                0.95616,                0.89565,                0.34722,                0.21043,                0.82039,               0.000892,               0.000892,               0.000892
                     94,                0.36159,                0.23197,                0.84947,                0.98172,                0.93159,                0.95592,                0.89553,                0.34656,                 0.2099,                0.82059,               0.000793,               0.000793,               0.000793
                     95,                0.36028,                0.22654,                0.85146,                0.98511,                0.92609,                0.95558,                0.89634,                0.34654,                0.20871,                0.82089,               0.000694,               0.000694,               0.000694
                     96,                0.35788,                0.22558,                0.84688,                0.98537,                 0.9261,                0.95451,                0.89507,                0.34631,                0.20823,                0.82077,               0.000595,               0.000595,               0.000595
