                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066087,             0.00066087,             0.00066087
                      2,                    nan,                    nan,                    nan,                0.00021,                0.00089,                0.00011,                  1e-05,                    nan,                    nan,                    nan,              0.0013013,              0.0013013,              0.0013013
                      3,                    nan,                    nan,                    nan,                0.00021,                0.00089,                0.00011,                  2e-05,                    nan,                    nan,                    nan,              0.0019152,              0.0019152,              0.0019152
                      4,                    nan,                    nan,                    nan,                0.00021,                0.00089,                0.00011,                  2e-05,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                    nan,                    nan,                    nan,                0.00021,                0.00089,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                    nan,                    nan,                    nan,                0.00021,                0.00089,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                    nan,                    nan,                    nan,                0.00021,                0.00089,                0.00011,                  2e-05,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                    nan,                    nan,                    nan,                0.00021,                0.00089,                0.00011,                  2e-05,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
