                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1901,                 2.8274,                 3.7523,                0.10878,                0.25559,                0.07558,                0.02151,                 2.9405,                 2.4435,                 3.2627,             0.00066522,             0.00066522,             0.00066522
                      2,                 3.0736,                 2.1376,                 2.8031,                0.27694,                0.27971,                0.22714,                0.08415,                 2.6862,                 2.0394,                 2.7978,              0.0013187,              0.0013187,              0.0013187
                      3,                 2.5073,                 1.9089,                 2.3063,                0.59797,                0.49955,                 0.5551,                0.31124,                 1.9083,                  1.665,                 2.0538,               0.001959,               0.001959,               0.001959
                      4,                 2.0987,                  1.617,                 2.0004,                0.66634,                0.59964,                0.67729,                0.39932,                 1.6232,                 1.4921,                 1.7702,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8835,                 1.4811,                 1.8159,                0.79177,                0.48525,                0.61702,                  0.382,                 1.6764,                 1.8159,                 1.7739,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7242,                 1.3935,                 1.7044,                0.79493,                0.66845,                0.77999,                0.54466,                 1.3305,                 1.2449,                 1.5397,               0.001901,               0.001901,               0.001901
                      7,                  1.606,                  1.313,                 1.6139,                0.81325,                0.69526,                0.81306,                0.56547,                 1.2476,                 1.1527,                 1.4831,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5033,                 1.2331,                 1.5329,                0.81965,                0.71761,                0.81375,                0.56693,                 1.2366,                 1.1615,                 1.4468,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4339,                 1.2415,                  1.499,                0.80974,                0.77591,                0.86296,                0.61126,                 1.1037,                 1.0547,                 1.3678,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3925,                 1.2831,                 1.4737,                0.84176,                0.75693,                0.85758,                0.62833,                 1.1186,                 1.0199,                 1.3847,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3827,                 1.2116,                  1.463,                0.77022,                0.64701,                0.75745,                0.47031,                 1.3503,                 1.3613,                 1.5029,               0.001802,               0.001802,               0.001802
                     12,                 1.3313,                 1.1507,                 1.4208,                0.83216,                0.77301,                0.86662,                0.64581,                 1.0555,                  1.015,                 1.3204,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3019,                 1.1038,                 1.4054,                0.86057,                0.77927,                0.88201,                0.66624,                 1.0218,                 0.9761,                 1.2855,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2325,                 1.0562,                 1.3761,                0.85587,                0.68543,                0.83345,                0.64119,                 1.0111,                 1.1596,                 1.2896,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1999,                 1.0177,                 1.3392,                0.83588,                0.79893,                0.88716,                0.67945,                0.96394,                0.92502,                 1.2339,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1962,                 1.0533,                 1.3452,                0.80868,                0.75924,                0.85593,                0.65656,                0.97213,                 0.9936,                 1.2494,               0.001703,               0.001703,               0.001703
                     17,                 1.1544,                 1.0344,                 1.3216,                0.86051,                0.71403,                0.83933,                0.64574,                  1.001,                 1.1327,                 1.2882,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1449,                0.99394,                 1.3107,                0.81887,                0.75147,                0.85502,                0.66447,                0.97822,                  1.055,                 1.2453,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1157,                0.98554,                 1.2932,                0.82669,                0.75603,                0.86203,                0.66932,                0.96591,                 1.0321,                 1.2437,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0833,                 0.9344,                  1.266,                0.85126,                0.82752,                  0.901,                0.72412,                0.84986,                0.84117,                 1.1674,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1004,                0.96292,                 1.2817,                0.87109,                0.79714,                0.89762,                0.71274,                0.86296,                0.86155,                 1.1841,               0.001604,               0.001604,               0.001604
                     22,                 1.0852,                0.95894,                 1.2657,                0.82629,                 0.7882,                0.87714,                0.69351,                0.87699,                0.94076,                 1.1763,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0624,                0.96393,                 1.2691,                0.87228,                0.81174,                0.89714,                0.71544,                0.85868,                0.89223,                 1.1752,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0336,                0.89203,                 1.2366,                0.87701,                0.80292,                0.89994,                0.72518,                0.83518,                0.84189,                 1.1615,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0305,                0.90583,                  1.256,                0.86918,                0.80749,                0.89786,                0.72018,                0.83429,                0.85966,                 1.1652,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0118,                0.87706,                 1.2269,                   0.86,                0.83445,                0.90582,                0.73621,                0.82127,                0.79828,                 1.1571,               0.001505,               0.001505,               0.001505
